# Offset: This is a mean heightmap giving the prior mean of a particular
# boundary. Control points deform this offset. This file can be high resolution
# (much greater than the number of control points for instance), because linear
# interpolation is used to create voxelisations.
# The top left of this file is
# the northern-most, western-most depth value. Positive number indicate
# increasing depth. Units are in metres, except if BoundariesAreTimes flag is
# true (and it is not the first layer), in which case they are in seconds and
# represent two-way times. The distances are computed through the P-wave
# velocity parameter.

1769.8,1769.8,1769.8,1769.8,1760.3,1757.2,1764.0,1777.3,1789.8,1801.0,1809.0,1814.4,1817.6,1817.7,1814.3,1810.9,1808.6,1808.6,1808.8,1809.2,1809.5,1809.8,1809.9,1809.9,1809.9,1809.9
1769.8,1769.8,1769.8,1769.8,1760.3,1757.2,1764.0,1777.3,1789.8,1801.0,1809.0,1814.4,1817.6,1817.7,1814.3,1810.9,1808.6,1808.6,1808.8,1809.2,1809.5,1809.8,1809.9,1809.9,1809.9,1809.9
1769.8,1769.8,1769.8,1769.8,1760.3,1757.2,1764.0,1777.3,1789.8,1801.0,1809.0,1814.4,1817.6,1817.7,1814.3,1810.9,1808.6,1808.6,1808.8,1809.2,1809.5,1809.8,1809.9,1809.9,1809.9,1809.9
1769.8,1769.8,1769.8,1769.8,1760.3,1757.2,1764.0,1777.3,1789.8,1801.0,1809.0,1814.4,1817.6,1817.7,1814.3,1810.9,1808.6,1808.6,1808.8,1809.2,1809.5,1809.8,1809.9,1809.9,1809.9,1809.9
1794.1,1794.1,1794.1,1794.1,1779.5,1766.6,1769.6,1779.9,1790.5,1801.8,1811.3,1819.9,1825.4,1825.0,1820.4,1815.4,1812.3,1811.5,1811.3,1811.5,1811.5,1811.4,1811.2,1811.2,1811.2,1811.2
1789.5,1789.5,1789.5,1789.5,1767.5,1760.3,1771.0,1783.1,1791.2,1800.9,1810.0,1820.7,1827.6,1828.9,1827.2,1822.2,1819.1,1816.0,1813.9,1813.4,1813.3,1813.3,1812.9,1812.9,1812.9,1812.9
1708.4,1708.4,1708.4,1708.4,1700.8,1729.3,1768.0,1785.0,1791.5,1797.7,1805.4,1816.0,1824.7,1827.8,1829.1,1827.5,1823.8,1819.2,1815.4,1814.3,1814.5,1814.7,1814.6,1814.6,1814.6,1814.6
1546.0,1546.0,1546.0,1546.0,1604.8,1690.4,1761.4,1786.5,1791.4,1793.3,1799.2,1809.6,1819.1,1824.8,1824.6,1823.4,1820.3,1815.9,1813.1,1812.9,1813.4,1814.6,1815.0,1815.0,1815.0,1815.0
1486.9,1486.9,1486.9,1486.9,1525.9,1671.7,1761.8,1797.2,1793.8,1789.0,1792.1,1803.1,1812.0,1810.2,1807.1,1806.4,1804.8,1802.5,1803.3,1806.4,1809.4,1812.2,1814.1,1814.1,1814.1,1814.1
1595.5,1595.5,1595.5,1595.5,1587.7,1691.6,1768.8,1809.2,1797.7,1788.2,1793.1,1808.4,1820.3,1818.4,1804.6,1793.3,1785.9,1787.5,1790.6,1795.4,1801.8,1807.6,1811.7,1811.7,1811.7,1811.7
1738.4,1738.4,1738.4,1738.4,1706.2,1742.8,1785.6,1808.3,1799.6,1791.2,1793.0,1814.9,1834.3,1837.7,1826.1,1808.2,1791.9,1785.9,1784.1,1786.3,1793.1,1801.5,1807.7,1807.7,1807.7,1807.7
1736.4,1736.4,1736.4,1736.4,1777.1,1781.2,1782.9,1797.4,1797.9,1779.9,1770.8,1782.8,1819.6,1854.0,1868.3,1848.7,1818.5,1796.7,1785.7,1783.2,1786.6,1794.7,1802.2,1802.2,1802.2,1802.2
